Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgCWDLimit,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,AvgCWD,
30, PiceEnge, 4, 4, 0.99, 1, 1, 1, 0, 0, 119.5, 140.25, 260, 39.93, 
30, PicePung, 1, 15, 0, 1, 1, 1, 0, 0, 147.4, 121.13, 270.8, 53.42, 
30, PicePung, 2, 9, 0, 1, 1, 1, 0, 0, 144.11, 120.89, 267.56, 54.41, 
30, PicePung, 3, 3, 0, 1, 1, 1, 0, 0, 143.67, 120, 264.67, 52.51, 
30, PicePung, 4, 8, 0.99, 1, 1, 1, 0, 0, 114.5, 140.5, 255, 31.35, 
30, PinuPond, 1, 6, 0.99, 1, 1, 1, 0.03, 0.01, 151, 113.17, 267, 56.23, 
30, PinuPond, 2, 1, 1, 1, 1, 1, 0, 0, 151, 110, 262, 59.19, 
30, PinuPond, 3, 2, 1, 1, 1, 1, 0, 0, 151.5, 114, 266.5, 50.15, 
30, PinuPond, 4, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, PinuEdul, 1, 3, 1, 1, 1, 1, 0, 0, 145, 125, 271, 55.07, 
30, PinuEdul, 2, 2, 0.99, 1, 1, 1, 0, 0, 145, 120.5, 266.5, 57, 
30, PinuEdul, 3, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, PinuEdul, 4, 2, 0.61, 1, 1, 1, 0, 0, 105, 145.5, 250, 32.87, 
30, PopuTrem, 1, 10, 0.88, 1, 1, 1, 0, 0, 145.4, 122.6, 270.1, 54.41, 
30, PopuTrem, 2, 5, 0.95, 1, 1, 1, 0, 0, 143.8, 123, 267.8, 58.1, 
30, PopuTrem, 3, 3, 0.95, 1, 1, 1, 0, 0, 149.33, 117, 267.33, 48.37, 
30, PopuTrem, 4, 1, 0.69, 1, 1, 1, 0, 0, 115, 145, 260, 41.94, 
